AD04;3 phase Universal Mobile Connector (UMC);Description
AD05;3 phase Universal Mobile Connector (UMC) - IT Grid;Description
AD06;Adapter, Schuko (1 phase, 13A);Description
AD07;Rød ladeadapter;Utstyr din mobillader med et rødt IEC 60309 ladeadapter
AD08;Blått ladeadapter;Utstyr din mobillader med et blått 60309 ladeadapter
AD09;Adapter, Swiss (1 phase, 10A);Description
AD10;Adapter, Denmark (1 phase, 13A);Description
AD11;Adapter, Italy (1 phase, 13A);Description
ADX10;No - Adapter, Denmark (1 phase, 13A);Description
ADX11;No - Adapter, Italy (1 phase, 13A);Description
ADX4;No - 3 phase Universal Mobile Connector (UMC);Description
ADX5;No - 3 phase Universal Mobile Connector (UMC) - IT Grid;Description
ADX6;No - Adapter, Schuko (1 phase, 13A);Description
ADX7;no - 3-ph Red IEC309 (3 phase, 16A);Description
ADX8;No - Blue IEC309 (1 phase, 32A);Description
ADX9;No - Adapter, Swiss (1 phase, 10A);Description
ADPC2;Type 2 offentlig ladekabel;Model S kommer med Type 2 ladeport. De fleste offentlige ladestasjoner krever at du har en egen type 2 ladekabel. Opp til 55 kilometer rekkevidde per time med standard 11 kW enkeltlader. Opp til 110 kilometer rekkevidde per time med tilvalget 22 kW dobbeltlader. (Ps: ladehastighet avhenger også av utgangseffekten på ladestasjonen).
ADPX2;Type 2 Public Charging Connector;Description
AU00;Ingen lydpakke;Ingen lydpakke
AU01;Ultra Hi-Fi lydsystem;Ultra Hi-Fi lydsystemet omslutter passasjerene som i en konsertsal, og bruker 12 presist plasserte høyttalere for å nøyaktig gjengi lyd og levere den direkte til passasjerenes ører. Dens digitale signalbehandling ble utviklet med kjente plateprodusenter og er nøyaktig innstilt for høyttalernes plassering inne i bilen. Våre lydteknikerne tok til og med akustiske forskjeller i takmaterialet med i beregningen ved å opprette forskjellige signalbehandlingskoder for standard tak og panoramatak i helglass. Pakken inneholder:
BC0B;Black Brake Calipers;Black Brake Calipers
BC0R;Tesla-røde bremsecalipere;Firestempels Brembo bremsecalipere i Tesla-rødt
BS00;NOBULL00;NOBULL00
BS01;YESBULL00;YESBULL00
BT60;60 kWt Batteri;
BT85;85 kWt Batteri;
CDM0;No CHAdeMO Charging Adaptor;No CHAdeMO Charging Adaptor
CDM1;CHAdeMO Lade Adapter;Dra nytte av CHAdeMO sitt nettverk av 50kw ladestasjoner ved å aktivere maskinvaren ombord på Model S og i tillegg kjøpe et separat adapter. Maskinvaren er allerede aktivert på alle Model S hvor supercharger maskinvaren er inkludert. Gir opptil 240km per time lading
CH00;Enkellader;Enkellader
CH01;Dobbeltlader;Utstyr Model S med en ekstra lader for opptil dobbelt så rask ladetid og dra nytte av opptil 110km rekkevidde per time lading. Bruk sammen med High Power Wall Connector eller type 2 offentlig ladestasjoner for best resultat.
COL0;Signature;Eksklusiv Signature-farge
COL1;Hel;Solide farger (tilgjengelige de 6 første månedene av produksjonen)
COL2;Metallic;Metallic farger (tilgjengelig på syv måneder av produksjonen)
COL3;Tesla multibelegg;Premium farger (tilgjengelig på 9 måneder av produksjonen)
CW00;Ingen vinterpakke;Ingen vinterpakke
CW01;Vinterpakke;Forbedre komforten og bekvemmeligheten i kaldt vær ved å legge til:
CW02;Vinterpakke;Forbedre komforten og bekvemmeligheten i kaldt vær ved å legge til:
DA01;Aktiv sikkerhet;
DRLH;Høyreratt;Høyreratt
DSH5;PUR Dash Pad;PUR Dash Pad
DSH7;Black Alcantara Dashboard Accents;Velg premium taktrekk med et Alcantara dashbordpanel ved siden av instrumentpanelet, klimakontrollåpningene og 17" touchscreen.
DV2W;Bakhjulsdrift;Single Drive Motor
DV4W;Firehjulstrekk med Dual Motor;null
FG00;Grunn ekstern belysning;null
FG02;Exterior Lighting Package;Skjær gjennom tåke og belys hindringer på mørke veier med LED tåkelys som styres via bilens touchscreen. Våre ny-designede tåkelys er designet for å virke med våre LED kurvelys og frontlys som et komplett system.
HP00;No High Power Wall Connector;No High Power Wall Connector
IDCF;Karbonfiberinnredning;Karbonfiber
IDLW;Morbærtre innredning;Morbærtre
IDOG;Blankt abachi-tre glanset innredning;Blankt abachi-tre
IDOM;Abeche-tre matt innredning;Matt abachi-tre
IDHG;Blankt abachi-tre;Blankt abachi-tre
IDHM;Matt abachi-tre;Matt abachi-tre
IDPB;Pianosvart;Pianosvart
IX00;White;No Extended Nappa Leather Trim
IX01;Extended Nappa Leather Trim;Wrap the interior of your car in the same luxurious Nappa leather used for our seats. Selectively chosen top-grade hides are minimally processed to retain their natural character. The result is an especially soft, smooth finish for the following surfaces:
LP00;Ingen lyspakke;Ingen lyspakke
LP01;Premium interiørbelysning;Få stemning i din Model S med strategisk plasserte LED-lys som belyser uten å reflekteres i frontruta. Interiørbelysning inkluderer:
ME02;Memory Seats;undefined
PA00;No Paint Armor;No Paint Armor
PA01;Paint Armor;Protect key areas of Model S against stone chips, bug damage, weathering and other paint damage. Paint Armor is clear film that is applied to:
Depending on the angle of sunlight, seams between protected and unprotected paint areas will be visible, particularly on white and pearl white cars.
PBT85;85 kWt Performance;
P85D;85 kWt Performance;
PF00;Ingen Perfomance Legacy-pakke;Ingen Perfomance Legacy-pakke
PF01;Perfomance Legacy-pakke;Perfomance Legacy-pakke
PI00;No Premium Interior;null
PI01;Premium interiørpakke;Fremhev interiøret i Model S med LED effektbelysning og utvidet nappaskinn i hele kabinen. De nøye utvalgte skinntypene i aller høyeste kvalitet er minimalt behandlet, sånn at den naturlige karakteren beholdes, og dekker armlenene, dekslet over airbagen til føreren, og det nedre dashbordet. 
PK00;Legacy Ingen parkeringssensor;null
PS00;Ingen hattehylle;Ingen hattehylle
PS01;Hattehylle;Skap redusert innsyn i baggasjerommet med den avtagbare hattehyllen som sklir inn mellom baksetene og bakruten for å skjerme eiendelene dine.
PSP14;Fire år;Valgfri ranger besøk koster minimum kr. 1.000 per besøk
PSP15;Fem år;null
PSPR14;Fire år + ubegrenset Ranger;Inkluderer ubegrenset ranger besøk
PSP8;åtte år;
PSPX4;No Four-year prepaid;Ranger service
PSPX5;No Four-year prepaid;Ranger service
PSPX8;No Eight-year prepaid;Ranger service
PSPRX4;No Four-year prepaid Annual Service with Ranger Service;undefined
PX00;Ingen Performance Plus-pakke;Ingen Performance Plus-pakke
PX01;Performance Plus;Performance Plus legger håndtering i verdensklasse til den utrolige akselerasjonen til Model S Performance mens den samtidig forbedrer rekkevidden. Etter hundrevis av gjentakelser som påvirker hver eneste detalj av fjæringen, oppnådde kjøretøysdynamikkteamet vårt det sjeldne utfallet å forbedre både ytelse og effektivitet. I tillegg til oppgraderte dempere, foringer, stabilisatorbarer og dekk (Michelin Pilot Sport PS2), er bakdekkene 20 mm bredere og forskjøvne for bedre akselerasjon på veidekker med dårlig grep. Rekkevidden forbedres 6 til 12 miles i forhold til vanlige 21" hjul.
TP00;No Technology Package;No Technology Package
TP02;Tech-pakke med autopilot;Tech-pakken legger til en rekke funksjoner på en allerede avansert bil.
QPBT;Svarte tekstilseter;Tekstil
QPMB;Svarte skinnseter;Svarte skinnseter
QPMG;Grå skinnseter;Grå skinnseter
QPMT;Beige skinnseter;Beige skinnseter
QNEB;Sorte Neste generasjon seter;Sorte Neste generasjon seter
QNEG;Grått Neste generasjon seter;Grått Neste generasjon seter
QNET;Beige Neste generasjon seter;Beige Neste generasjon seter
QNLB;Sorte Neste generasjon seter;Sorte Neste generasjon seter
QNLG;Grått Neste generasjon seter;Grått Neste generasjon seter
QNLT;Beige Neste generasjon seter;Beige Neste generasjon seter
QREB;Sorte Neste generasjon seter;Sorte Neste generasjon seter
QREG;Grått Neste generasjon seter;Grått Neste generasjon seter
QRET;Beige Neste generasjon seter;Beige Neste generasjon seter
QRLB;Sorte Neste generasjon seter;Sorte Neste generasjon seter
QRLG;Grått Neste generasjon seter;Grått Neste generasjon seter
QRLT;Beige Neste generasjon seter;Beige Neste generasjon seter
QXMB;Black Leather;Svart nappaskinn / Alcantara med hvite fremhevninger
QXMG;Grey Leather;Grått nappaskinn / Alcantara med hvite fremhevninger
QXMT;Tan Leather;Brunt nappaskinn / Alcantara med hvite fremhevninger
QYMB;Sorte Performance skinnseter;Sorte Performance skinnseter
QYMG;Grå Performance skinnseter;Grå Performance skinnseter
QYMT;Brune Performance skinnseter;Brune Performance skinnseter
QZMB;Svarte Performance skinnseter;Svarte Performance skinnseter
QZMG;Grå Performance skinnseter;Grå Performance skinnseter
QZMT;Brune Performance skinnseter;Brune Performance skinnseter
RFBC;Karosserifarge;Solid aluminiumstak tilgjengelig i svart eller matchende utvendig lakk. Ikke kompatibelt med takstativ. For å montere takstativ må du velge panoramatak i helglass.
RFBK;Svart;Solid aluminiumstak tilgjengelig i svart eller matchende utvendig lakk. Ikke kompatibelt med takstativ. For å montere takstativ må du velge panoramatak i helglass.
RFPO;Panoramatak i helglass;Uttrekkbart tak laget av lett sikkerhetsglass som overgår sikkerhetsstandarder og blokkerer både 98% av ultrafiolett lys og 81 % av solvarmen. Standard med festepunkter for takstativ.
SC00;Supercharging;Supercharging
SC01;Aktivert for Supercharger;Tesla Supercharger er eksterne ladere utformet for å fylle opp en halv ladning på så lite som 20 minutter. Tesla bygger et nettverk av 120kW superladere over hele Europa. Nettverket vil dekke mesteparten av vest-europa før vinteren 2014.
SP00;Ingen sikkerhetspakke;Ingen sikkerhetspakke
SP01;Sikkerhetspakke;Beskytt din Model S med en bevegelsesaktivert innbruddsalarm støttet av et uavhengig batteri. Dette sekundære batteriet er adskilt fra bilens elektronikk og vil være operativt selv om tyver prøver å deaktivere det normale 12-volts elektriske systemet. 
SR01;Standard 2nd row;Standard 2nd row
SR02;Bakre komfortseter;Tilpass din Model S kabin med private og komfortable executive-bakseter. Begge de skinntrukkede setene inkluderer to-soners varme, og har en bred midtkonsoll med skjult oppbevaring mellom seg. Passasjerer i baksetet kan kontrollere media, klimakontroll og panoramataket med Tesla appen.
SU00;Standard fjæring;Standard fjæring
SU01;Smart Luftfjæring;Jevner ut og justerer automatisk stivhet for optimal ytelse og kjøreopplevelse, uavhengig av veibane eller last. Ved å benytte bilens touchscreen kan føreren heve eller senke Model S. Dette er nyttig ved bratte oppkjørsler, til å kjøre gjennom snø, for vareavlasting eller når passasjerer skal gå av.
TM00;Generell produksjonsutstyr;Generell produksjonsutstyr
TM02;Generell produksjon Signature trim;Generell produksjon Signature trim
TM0A;ALPHA PRE-PRODUCTION NON-SALEABLE;PRE-PRODUCTION NON-SALEABLE
TM0B;BETA PRE-PRODUCTION NON-SALEABLE;PRE-PRODUCTION NON-SALEABLE
TM0C;PRE-PRODUCTION SALEABLE;PRE-PRODUCTION SALEABLE
TR00;Ingen tredjerads seter;Ingen tredjerads seter
TR01;Bakovervendte seter;Transporter opptil 7 passasjerer i Model S ved å legge til seter for to barn med bakovervendte seter. Konstruert for å langt overskride statlige sikkerhetsstandarder, festes de til en annen ramme som forsterker standardstøtfangeren med sterk aluminium for den beste beskyttelsen. Disse komfortable setene foldes helt flate ned i gulvet når de ikke er i bruk.
UTAB;Sort Alcantara;Kompletter interiøret av Model S med vårt premium Alcantara innertrekk, et syntetisk stoff av høy kvalitet som ser ut som og føles som semsket skinn. Det dekker trimmen over vinduskarmene og solskjermene.
UTAW;Hvitt Alcantara;Kompletter interiøret av Model S med vårt premium Alcantara innertrekk, et syntetisk stoff av høy kvalitet som ser ut som og føles som semsket skinn. Det dekker trimmen over vinduskarmene og solskjermene.
UTMF;Tekstil taktrekk;Tekstil taktrekk
WT19;19";Standard med Goodyear Eagle RS-A2 høyytelses helårsdekk.
WT21;21" Turbine;Standard med Continental ExtremeContact-dekk for høy ytelse ved både våte og tørre forhold.
WTSG;21" Turbine;Standard med Continental ExtremeContact-dekk for høy ytelse ved både våte og tørre forhold.
WTSP;21" Turbine;Standard med Continental ExtremeContact-dekk for høy ytelse ved både våte og tørre forhold.
WTSS;21" Turbine;Standard med Continental ExtremeContact-dekk for høy ytelse ved både våte og tørre forhold.
WTTB;19" Cyclone;Standard med Goodyear Eagle RS-A2 høyytelses helårsdekk. 
WTW1;19” Nokian vinterhjul piggdekk;Nokian Hakkapeliitta 7 piggdekk, spesielt designet for Nordiske vinterforhold, innebyggede støtdempere som minimerer motstanden fra piggene mot veioverflaten. Dette reduserer både kabin-støy og slitasje. Inkluderer fire standard 19” felger med dekk montert.
WTW2;19” Nokian vinterhjul uten pigg;Nokian Hakkapeliitta R2 piggfrie vinterdekk, spesielt designet for Nordiske vinterforhold, har små miljøvennlige krystaller i gummien som forbedrer veigrepet på snødekte veier. Inkluderer fire standard 19” felger med dekk montert.
WTW3;19” Pirelli Vinterhjul sett;Pirelli Vinter Sottozero Series II combinerer både lav rulle-motstand og bra grep på vinter veier. Det inkluderer fire standard 19” felger med påmontert vinterdekk.
WTW4;Sett med 19" vinterdekk;Fire standard 19" hjul med påmontert Pirelli Winter Sottozero vinterdekk, størrelse 245/45-19.
WXW4;No 19" Sett med 19" vinterdekk;null
WTW5;Sett med 21" vinterdekk;Fire standard 21" hjul med påmontert Pirelli Winter Sottozero vinterdekk, størrelse 245/35-21. Vinterfelgene tilpasses din Model S.
WTX0;No 19" Michelin Primacy Tire Upgrade;null
WXW5;No 21" Sett med 21" vinterdekk;null
WXW1;No - 19" Wheels with Nokian Studded Winter Tires;Description
WXW2;No - 19" Wheels with Nokian Winter Tires;Description
WXW3;No - 19" Wheels with Pirelli Winter Tires;Description
X001;Override: Elektrisk hevet bakluke;Override: Elektrisk hevet bakluke
X002;Override: Manual Liftgate;Override: Manual Liftgate
X003;Maps & Navigation;null
X004;Override: No Navigation;Override: No Navigation
X007;LED Daytime Running Lights;null
X037;Powerfolding Mirrors;null
X010;Grunn speil;Grunn speil
X011;Override: Homelink;Override: Homelink
X012;Override: No Homelink;Override: No Homelink
X013;Override: Satellite Radio;Override: Satellite Radio
X014;Override: No Satellite Radio;Override: No Satellite Radio
X019;Karbonfiberspoiler;Ved å legge til en karbonfiber spoiler på bakluken forbedres stabiliteten ved høy fart. Den er laget av tverrvevet lettvekts karbonfiber med en matt epoxy finish.
X021;Ingen spoiler;Ingen karbonfiberspoiler
X024;Performance-pakke;Performance Package. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nunc ultricies fermentum velit, eget cursus turpis tristique ut. In pretium facilisis scelerisque. Nullam et dui malesuada, pretium dolor pretium, fringilla risus. Praesent id velit eget ligula aliquet varius. Suspendisse hendrerit justo urna, at blandit ipsum sodales sed.
X025;Ingen Performance-pakke;Ingen Performance-pakke
X026;Override: No LEDs/Non-Tech Pkg;Override: No LEDs/Non-Tech Pkg
X027;Lighted Door Handles;null
X028;Batterimerke;Batterimerke
X029;Fjern batterimerke;Fjern batterimerke
X030;Override: No Passive Entry Pkg;Override: No Passive Entry Pkg
X031;Keyless Entry;null
YF00;Inget Yacht-gulv;Inget Yacht-gulv
YF01;Matchende Yacht-gulv;Gjør midtkonsollen elegant med et brett med yacht-gulv som matcher bilens innredning. Gummistrimler ligger langs toppen av trimmen for bedre grep.
